ax,ay,az,state,ultrasound,stepdetected
0.014152,0.042700,1.029924,LOOKING_FOR_SECOND_MAX,0.520000,0
0.023424,0.064660,1.026996,LOOKING_FOR_SECOND_MAX,0.520000,0
0.010248,0.003172,0.975756,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.018544,0.018788,0.865224,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.018788,0.028304,0.917684,LOOKING_FOR_SECOND_MAX,0.520000,0
0.003904,0.041480,1.021872,LOOKING_FOR_SECOND_MAX,0.520000,0
0.021960,0.019032,1.021872,LOOKING_FOR_MIN,0.520000,0
0.025864,0.025620,1.016748,LOOKING_FOR_MIN,0.520000,0
0.037088,0.057340,0.985028,LOOKING_FOR_MIN,0.520000,0
0.038796,0.006832,0.964288,LOOKING_FOR_MIN,0.520000,0
0.040992,0.012444,0.967460,LOOKING_FOR_MIN,0.520000,0
0.041236,0.012200,0.957456,LOOKING_FOR_MIN,0.520000,0
0.069052,0.038796,0.979172,LOOKING_FOR_MIN,0.520000,0
0.018300,-0.026108,0.937692,LOOKING_FOR_MIN,0.520000,0
0.024400,-0.010004,0.961116,LOOKING_FOR_SECOND_MAX,0.520000,0
0.048312,0.009028,0.996984,LOOKING_FOR_SECOND_MAX,0.520000,0
0.048312,0.007808,0.988688,LOOKING_FOR_SECOND_MAX,0.520000,0
0.035624,-0.006344,0.994788,LOOKING_FOR_SECOND_MAX,0.520000,0
0.031476,0.001464,0.998936,LOOKING_FOR_SECOND_MAX,0.520000,0
0.023912,-0.003172,1.011380,LOOKING_FOR_SECOND_MAX,0.520000,0
0.015860,0.022448,1.001132,LOOKING_FOR_SECOND_MAX,0.520000,0
0.012200,0.030500,1.015772,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.002928,-0.023668,1.012600,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.002196,-0.022448,1.004304,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.001708,-0.024644,1.036268,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.041236,-0.030012,1.008696,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.050264,-0.042944,1.000888,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.052460,-0.033428,1.045296,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.068564,-0.047824,1.018456,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.070516,-0.040260,1.002352,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.063684,-0.054168,1.010160,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.059048,-0.058072,1.034316,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.049532,-0.052704,1.049200,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.063684,-0.059536,1.019676,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.069784,-0.049776,1.033584,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.072956,-0.047580,1.031144,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.081252,-0.059292,1.026020,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.067344,-0.046116,1.030412,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.064660,-0.050508,1.022360,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.067100,-0.045872,1.023580,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.063440,-0.036112,1.019432,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.062952,-0.037576,1.017236,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.048068,-0.032208,1.002840,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.044652,-0.032696,0.998448,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.043188,-0.041724,0.994788,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.030256,-0.037332,1.000400,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.033428,-0.039040,0.999668,LOOKING_FOR_SECOND_MAX,0.520000,0
