0.025,-0.048,0.985,-0.427,7.812,6.042
-0.027,-0.035,1.047,1.099,-5.615,1.404
-0.080,-0.031,1.087,4.761,-17.761,-1.648
-0.130,-0.058,1.104,10.742,-26.306,-2.991
-0.182,-0.088,1.099,15.259,-29.663,-2.686
-0.221,-0.098,1.066,16.296,-27.161,-1.343
-0.242,-0.099,1.022,15.686,-19.226,1.038
-0.244,-0.097,0.994,13.428,-7.935,5.188
-0.218,-0.088,0.984,9.644,3.540,9.521
-0.174,-0.081,0.981,6.958,13.428,12.939
-0.136,-0.075,0.968,5.859,19.897,14.771
-0.105,-0.075,0.938,6.714,22.766,15.991
-0.079,-0.077,0.901,8.118,23.071,16.479
-0.053,-0.080,0.875,8.789,22.095,16.846
-0.032,-0.083,0.855,8.545,19.836,17.273
-0.017,-0.079,0.838,7.324,17.090,17.395
-0.005,-0.073,0.825,6.287,14.343,17.212
0.002,-0.072,0.818,5.737,11.841,16.724
0.013,-0.071,0.824,5.249,9.766,16.357
0.019,-0.070,0.840,4.089,7.385,15.503
0.018,-0.068,0.862,2.502,4.700,14.404
0.013,-0.061,0.887,1.465,1.831,13.062
0.006,-0.057,0.907,1.160,-0.854,11.719
-0.000,-0.053,0.927,1.038,-2.380,10.376
-0.009,-0.046,0.947,1.465,-3.357,9.216
-0.017,-0.043,0.964,2.502,-3.601,7.996
-0.023,-0.041,0.971,3.662,-3.235,7.141
-0.023,-0.036,0.982,4.333,-2.808,6.287
-0.020,-0.029,0.996,4.944,-2.441,5.859
-0.020,-0.029,0.999,5.493,-2.441,5.615
-0.017,-0.028,0.998,5.920,-2.441,5.005
-0.014,-0.025,0.996,5.615,-2.197,4.395
-0.009,-0.032,0.991,6.042,-1.587,3.967
0.002,-0.046,0.989,6.470,-0.366,3.052
0.013,-0.057,0.985,6.165,0.793,2.258
0.021,-0.069,0.981,5.310,2.014,1.648
0.028,-0.077,0.976,4.456,2.563,1.099
0.037,-0.080,0.982,3.418,2.563,1.099
0.041,-0.073,0.992,2.380,2.075,1.465
0.041,-0.064,0.991,2.319,1.038,2.197
0.045,-0.059,0.986,3.479,0.854,2.625
0.050,-0.054,0.977,5.127,1.404,2.747
0.056,-0.052,0.969,6.531,3.174,2.747
0.066,-0.054,0.956,7.385,5.249,2.441
0.076,-0.056,0.940,7.324,7.996,1.953
0.089,-0.054,0.935,6.226,10.803,1.099
0.105,-0.053,0.946,4.761,12.268,0.549
0.116,-0.048,0.962,3.845,12.512,-0.061
0.117,-0.047,0.962,3.906,11.169,-0.549
0.118,-0.051,0.962,5.066,9.583,-0.793
0.121,-0.054,0.974,5.493,8.118,-1.160
0.120,-0.048,0.992,5.005,6.653,-1.709
