ax,ay,az,gx,gy,gz
-0.443,0.906,0.095,3.479,0.854,3.357
-0.448,0.906,0.095,3.540,-0.061,2.991
-0.451,0.907,0.095,3.174,-0.244,2.991
-0.453,0.906,0.096,3.113,-0.305,2.991
-0.453,0.902,0.097,3.357,-0.122,3.479
-0.451,0.898,0.098,3.540,0.366,3.967
-0.449,0.897,0.097,3.235,0.793,4.272
-0.448,0.898,0.096,3.357,1.465,4.578
-0.442,0.898,0.094,3.418,2.197,4.944
-0.439,0.899,0.090,3.418,2.563,5.127
-0.437,0.902,0.087,3.113,2.686,5.127
-0.437,0.903,0.084,2.991,2.930,5.432
-0.433,0.905,0.085,2.808,3.113,5.188
-0.433,0.907,0.085,2.563,2.625,5.005
-0.432,0.908,0.087,2.075,2.136,4.822
-0.432,0.907,0.092,2.197,1.465,4.456
-0.432,0.907,0.097,2.563,0.671,4.211
-0.434,0.906,0.102,3.113,-0.183,3.967
-0.436,0.904,0.102,3.540,-1.160,3.906
-0.438,0.906,0.099,3.784,-1.648,4.028
-0.439,0.908,0.095,4.211,-1.648,4.211
-0.437,0.909,0.091,4.333,-1.221,4.578
-0.435,0.907,0.088,4.089,-0.549,4.883
-0.434,0.906,0.088,3.845,0.427,5.005
-0.433,0.904,0.089,3.235,1.160,4.883
-0.430,0.904,0.092,2.319,1.648,4.578
-0.429,0.907,0.095,1.892,2.075,4.272
-0.430,0.909,0.099,1.709,2.075,4.150
-0.427,0.909,0.102,1.831,1.892,4.089
-0.426,0.908,0.103,1.953,1.404,3.906
-0.429,0.907,0.104,2.258,0.977,3.845
-0.433,0.909,0.103,2.625,0.671,3.845
-0.435,0.911,0.101,2.869,0.366,3.723
-0.438,0.912,0.101,3.296,0.183,3.784
-0.439,0.912,0.100,3.174,0.122,3.662
-0.441,0.914,0.099,3.052,0.366,3.906
-0.441,0.916,0.102,2.930,0.427,4.028
-0.437,0.918,0.105,2.808,0.244,4.028
-0.434,0.916,0.105,2.441,0.305,3.906
-0.431,0.911,0.103,2.319,0.427,3.906
-0.429,0.911,0.104,2.136,0.854,3.479
-0.428,0.914,0.106,1.953,1.526,3.174
-0.426,0.911,0.109,2.136,1.770,3.113
-0.427,0.907,0.105,2.686,1.953,2.991
-0.429,0.907,0.100,2.808,2.319,2.625
-0.429,0.910,0.099,2.686,2.319,2.380
-0.429,0.910,0.099,2.686,2.319,2.441
-0.431,0.908,0.099,2.808,1.953,2.380
-0.432,0.910,0.101,2.930,1.465,2.441
-0.433,0.911,0.101,2.930,1.099,2.197
-0.435,0.911,0.105,3.235,0.793,2.014
-0.436,0.911,0.108,3.357,0.366,1.831
-0.439,0.911,0.107,3.662,0.122,1.831
-0.440,0.910,0.104,3.845,0.122,1.953
-0.441,0.906,0.103,3.967,0.305,1.831
-0.441,0.902,0.099,3.784,0.732,2.014
-0.441,0.901,0.097,3.479,1.465,2.319
-0.440,0.900,0.096,3.174,2.075,2.563
-0.440,0.902,0.093,2.869,2.686,2.625
-0.439,0.903,0.093,2.319,3.540,2.747
-0.434,0.900,0.094,2.197,4.028,2.930
-0.431,0.898,0.096,2.014,4.211,3.113
-0.430,0.898,0.098,2.075,3.967,2.869
-0.430,0.900,0.098,1.770,3.357,2.686
-0.433,0.904,0.099,2.014,2.686,2.563
-0.437,0.909,0.101,2.502,2.197,2.197
-0.441,0.911,0.103,2.869,1.526,2.075
-0.444,0.911,0.104,3.113,0.854,2.258
-0.448,0.911,0.104,3.113,0.427,2.258
-0.449,0.911,0.104,3.052,0.183,2.319
-0.447,0.910,0.104,3.052,0.122,2.380
-0.445,0.905,0.103,3.296,0.427,2.502
-0.444,0.901,0.100,3.479,1.038,2.563
-0.444,0.898,0.098,3.479,1.831,2.502
-0.444,0.896,0.097,3.113,2.441,2.563
-0.446,0.896,0.096,2.747,2.747,2.747
-0.449,0.896,0.095,2.380,3.052,2.930
-0.449,0.898,0.093,2.258,2.991,3.113
-0.447,0.903,0.091,2.136,2.747,3.296
-0.444,0.909,0.091,2.075,2.686,3.723
-0.437,0.910,0.090,2.441,2.625,4.150
-0.432,0.908,0.093,2.930,2.380,4.211
-0.430,0.904,0.097,3.174,1.709,3.784
-0.433,0.904,0.102,3.174,0.793,3.296
-0.440,0.908,0.103,2.991,-0.366,2.747
-0.445,0.911,0.101,3.235,-1.343,2.319
-0.450,0.910,0.099,3.662,-1.892,2.319
-0.452,0.906,0.094,3.784,-1.831,2.625
-0.451,0.902,0.088,3.723,-1.038,3.113
-0.452,0.898,0.083,3.357,0.183,3.601
-0.451,0.893,0.083,2.808,1.831,3.906
-0.450,0.891,0.085,1.892,2.869,4.150
-0.451,0.893,0.088,1.160,3.479,4.150
-0.452,0.892,0.089,0.854,3.357,4.395
-0.455,0.893,0.089,0.732,2.930,4.761
-0.455,0.892,0.089,0.671,2.380,5.371
-0.453,0.892,0.092,0.793,1.465,6.042
-0.451,0.891,0.092,0.732,0.549,6.714
-0.449,0.891,0.091,1.099,-0.244,7.263
-0.450,0.895,0.091,1.038,-0.732,7.629
-0.450,0.897,0.092,0.732,-0.732,7.690
-0.450,0.900,0.097,0.732,-0.244,7.874
-0.451,0.903,0.099,0.610,0.000,8.301
-0.451,0.906,0.103,0.488,0.183,8.240
-0.451,0.908,0.106,0.366,0.122,8.301
-0.450,0.905,0.107,0.183,0.061,8.545
-0.448,0.903,0.109,0.305,0.061,8.667
-0.446,0.903,0.108,0.183,0.183,8.789
-0.446,0.906,0.105,-0.244,0.732,8.972
-0.444,0.907,0.104,0.122,1.465,8.972
-0.441,0.907,0.104,0.610,2.075,8.911
-0.435,0.906,0.107,0.793,2.380,8.850
-0.429,0.906,0.106,0.793,2.136,8.789
-0.423,0.908,0.105,0.916,1.709,8.789
-0.417,0.911,0.104,1.221,1.343,8.484
-0.412,0.913,0.100,1.709,0.977,8.118
-0.409,0.913,0.097,2.014,0.854,7.385
-0.407,0.913,0.094,2.380,0.854,6.592
-0.412,0.915,0.095,2.502,1.160,5.432
-0.417,0.916,0.100,2.380,1.160,4.211
-0.424,0.916,0.107,2.258,0.427,3.052
-0.433,0.917,0.113,2.502,-0.549,1.831
-0.439,0.919,0.113,3.052,-1.343,1.282
-0.444,0.919,0.109,3.662,-1.892,1.221
-0.444,0.917,0.105,4.517,-1.953,1.160
-0.443,0.912,0.098,5.554,-1.465,1.404
-0.442,0.909,0.091,6.165,-0.732,1.587
-0.441,0.904,0.088,6.165,0.061,1.282
-0.443,0.903,0.087,5.859,0.244,0.549
-0.446,0.903,0.088,5.554,0.244,-0.122
-0.450,0.904,0.087,5.432,-0.427,-0.610
-0.453,0.903,0.087,5.554,-1.343,-0.732
-0.455,0.901,0.089,6.104,-2.014,-0.732
-0.458,0.895,0.091,6.042,-2.441,-0.732
-0.462,0.893,0.092,5.798,-2.930,-0.732
-0.469,0.895,0.093,6.104,-3.357,-0.610
-0.472,0.895,0.093,6.470,-3.601,-0.488
-0.472,0.895,0.094,6.775,-3.662,-0.122
-0.473,0.893,0.091,6.897,-3.418,0.610
-0.471,0.895,0.086,6.653,-2.930,1.465
-0.467,0.895,0.081,6.165,-2.441,2.136
-0.462,0.899,0.077,5.554,-2.075,2.808
-0.457,0.901,0.074,5.005,-1.465,3.174
-0.451,0.901,0.074,4.211,-1.038,3.418
-0.446,0.902,0.075,3.479,-1.038,3.418
-0.442,0.904,0.080,2.991,-1.282,3.418
-0.438,0.905,0.088,2.869,-1.831,3.296
-0.434,0.904,0.093,2.930,-2.380,3.296
-0.432,0.904,0.096,3.418,-3.479,3.357
-0.430,0.905,0.098,4.089,-4.700,3.235
-0.429,0.908,0.099,4.639,-5.737,3.235
-0.427,0.912,0.097,5.310,-6.470,3.662
-0.424,0.914,0.093,5.554,-6.836,4.150
-0.421,0.918,0.083,5.249,-6.348,4.517
-0.420,0.922,0.075,4.883,-5.188,4.578
-0.418,0.924,0.071,4.456,-3.418,4.822
-0.418,0.922,0.071,3.723,-2.197,4.639
-0.414,0.922,0.074,2.380,-1.587,4.639
-0.411,0.924,0.078,1.099,-1.038,4.456
-0.408,0.925,0.082,0.000,-1.038,4.395
-0.406,0.923,0.084,0.000,-1.648,4.395
-0.403,0.922,0.087,0.366,-2.075,4.700
-0.400,0.924,0.087,0.854,-2.380,5.371
-0.397,0.926,0.087,1.038,-3.113,6.042
-0.394,0.925,0.084,1.648,-3.662,6.897
-0.391,0.926,0.082,1.892,-4.089,7.202
-0.390,0.927,0.080,1.709,-4.089,7.019
-0.387,0.930,0.081,1.099,-3.845,6.775
-0.385,0.931,0.084,0.488,-3.784,6.226
-0.385,0.931,0.086,-0.305,-3.357,5.737
-0.385,0.930,0.086,-1.099,-3.174,5.127
-0.386,0.931,0.087,-1.526,-2.625,4.517
-0.391,0.932,0.087,-1.587,-2.197,3.906
-0.394,0.931,0.085,-1.709,-1.953,3.784
-0.398,0.932,0.082,-1.770,-1.465,3.784
-0.404,0.935,0.079,-2.014,-0.793,3.906
-0.408,0.936,0.078,-2.319,-0.122,4.089
-0.409,0.935,0.080,-2.563,0.183,4.333
-0.408,0.933,0.081,-2.441,0.366,4.395
-0.412,0.934,0.080,-2.625,0.122,4.395
-0.417,0.936,0.077,-2.869,-0.122,4.333
-0.420,0.937,0.072,-2.441,-0.183,4.272
-0.423,0.936,0.068,-2.319,-0.061,4.211
-0.424,0.936,0.067,-2.075,-0.061,4.395
-0.424,0.934,0.067,-2.136,-0.244,4.517
-0.418,0.931,0.067,-2.625,-0.427,4.761
-0.409,0.929,0.064,-3.113,-0.488,4.639
-0.398,0.930,0.062,-3.418,-0.061,4.761
-0.387,0.927,0.059,-3.845,0.427,5.005
-0.370,0.922,0.054,-4.089,1.343,4.883
-0.355,0.922,0.049,-4.578,3.052,4.456
-0.341,0.920,0.042,-5.005,4.761,3.784
-0.325,0.913,0.038,-5.005,6.470,2.808
-0.310,0.902,0.036,-4.761,7.568,1.404
-0.303,0.891,0.036,-4.700,7.996,-0.122
-0.310,0.891,0.032,-4.822,7.690,-1.709
-0.324,0.894,0.025,-4.883,7.019,-3.418
-0.348,0.900,0.025,-4.761,6.348,-5.005
-0.374,0.908,0.028,-4.639,5.249,-6.531
-0.405,0.922,0.027,-4.700,4.028,-7.568
-0.434,0.935,0.021,-4.639,2.869,-8.057
-0.459,0.950,0.016,-4.700,2.258,-7.812
-0.473,0.960,0.021,-4.700,2.319,-6.897
-0.480,0.968,0.031,-4.456,2.441,-5.554
-0.479,0.972,0.039,-3.784,1.953,-4.333
-0.468,0.970,0.045,-2.319,1.099,-2.869
-0.452,0.964,0.052,-1.099,0.061,-1.770
-0.437,0.955,0.057,0.854,-1.404,-0.916
-0.419,0.943,0.062,2.502,-2.380,-0.427
-0.407,0.924,0.058,4.395,-3.784,-0.183
-0.399,0.903,0.047,6.104,-5.066,-0.305
-0.395,0.887,0.036,7.202,-5.981,-0.488
-0.392,0.873,0.028,7.446,-5.920,-0.549
-0.394,0.859,0.021,6.592,-5.005,-0.366
-0.398,0.850,0.018,5.310,-3.662,0.000
-0.406,0.848,0.014,3.967,-2.380,0.488
-0.415,0.852,0.017,2.380,-1.099,1.160
-0.420,0.857,0.025,1.038,0.610,2.563
-0.419,0.862,0.038,0.183,1.648,4.395
-0.417,0.867,0.050,0.000,1.770,6.042
-0.413,0.870,0.061,0.488,0.977,7.874
-0.408,0.872,0.071,1.587,-0.488,9.338
-0.402,0.875,0.076,2.808,-1.831,10.681
-0.394,0.876,0.076,4.211,-2.869,11.902
-0.386,0.874,0.073,5.432,-3.662,13.062
-0.379,0.867,0.068,6.592,-3.723,13.733
-0.378,0.863,0.060,6.897,-3.174,14.099
-0.384,0.863,0.052,6.409,-2.380,13.977
-0.392,0.865,0.046,5.676,-1.099,14.160
-0.396,0.870,0.044,4.517,0.916,14.648
-0.396,0.875,0.042,3.540,2.991,15.564
-0.394,0.881,0.044,2.625,4.761,17.029
-0.384,0.886,0.042,1.587,6.226,18.494
-0.368,0.889,0.041,1.221,7.690,19.958
-0.353,0.897,0.041,1.221,8.850,20.874
-0.335,0.906,0.045,1.770,9.155,21.240
-0.318,0.911,0.052,2.625,8.667,21.179
-0.306,0.914,0.057,3.662,6.958,20.325
-0.303,0.922,0.059,4.761,4.272,19.165
-0.302,0.931,0.057,6.042,1.282,17.822
-0.304,0.935,0.055,7.568,-1.404,16.968
-0.308,0.935,0.053,8.850,-2.930,16.296
-0.315,0.937,0.052,9.644,-4.272,15.869
-0.320,0.939,0.051,9.949,-5.188,15.381
-0.321,0.940,0.048,9.888,-4.700,15.076
-0.319,0.935,0.048,10.071,-3.479,14.954
-0.320,0.932,0.050,9.949,-2.319,14.709
-0.320,0.928,0.053,9.644,-1.038,14.282
-0.322,0.928,0.052,9.216,0.366,14.038
-0.328,0.932,0.046,8.667,1.587,14.404
-0.330,0.937,0.041,7.996,2.686,14.587
-0.332,0.942,0.034,7.324,3.967,14.832
-0.332,0.949,0.031,5.981,5.249,14.954
-0.332,0.961,0.028,4.395,6.531,14.648
-0.330,0.975,0.031,3.296,7.874,14.099
-0.328,0.988,0.036,2.625,8.911,13.733
-0.328,0.997,0.043,2.686,9.644,13.062
-0.331,1.006,0.053,2.625,9.338,12.024
-0.336,1.016,0.062,2.808,8.423,11.353
-0.340,1.027,0.068,3.235,7.080,11.108
-0.340,1.035,0.068,4.211,5.737,11.047
-0.338,1.035,0.066,5.432,4.944,11.414
-0.329,1.028,0.063,7.019,5.066,11.536
-0.325,1.019,0.058,8.240,5.920,11.108
-0.336,1.016,0.058,8.728,6.958,10.071
-0.368,1.018,0.062,8.606,7.874,8.362
-0.428,1.033,0.073,7.690,8.179,6.287
-0.515,1.074,0.087,5.859,7.690,4.150
-0.591,1.119,0.091,3.967,6.104,3.479
-0.634,1.157,0.082,2.441,5.554,4.822
-0.651,1.171,0.063,1.465,6.714,8.240
-0.647,1.178,0.053,0.488,10.132,12.695
-0.635,1.178,0.057,-1.099,14.587,17.517
-0.597,1.183,0.075,-4.883,19.165,21.118
-0.551,1.201,0.093,-8.606,23.193,22.644
-0.504,1.188,0.119,-9.705,26.184,22.949
-0.445,1.137,0.124,-8.484,28.381,21.545
-0.385,1.111,0.127,-7.141,29.907,18.616
-0.336,1.012,0.095,-5.127,30.945,14.771
-0.302,0.923,0.072,-3.845,32.227,9.460
-0.302,0.855,0.080,-3.967,34.485,2.014
-0.321,0.805,0.063,-5.005,35.583,-5.798
-0.358,0.776,0.042,-6.714,35.889,-12.817
-0.415,0.768,0.043,-9.521,36.377,-17.212
-0.471,0.767,0.033,-13.245,36.438,-18.677
-0.514,0.777,0.017,-16.907,37.109,-18.372
-0.560,0.800,-0.005,-20.325,39.063,-17.090
-0.599,0.852,-0.012,-24.536,42.725,-14.893
-0.616,0.908,-0.001,-28.748,47.119,-11.292
-0.611,0.952,0.012,-32.227,50.659,-6.958
-0.580,0.982,0.041,-33.936,53.284,-3.601
-0.539,0.994,0.077,-34.363,54.138,-1.953
-0.503,0.990,0.110,-33.630,52.979,-2.747
-0.478,0.978,0.143,-31.372,49.072,-5.737
-0.463,0.966,0.168,-27.832,43.213,-10.132
-0.458,0.952,0.185,-23.254,35.706,-15.015
-0.454,0.928,0.185,-17.212,27.527,-19.287
-0.452,0.890,0.166,-10.864,20.203,-22.705
-0.454,0.857,0.130,-5.127,14.771,-25.391
-0.460,0.836,0.086,-1.526,11.963,-27.039
-0.461,0.819,0.044,0.488,12.329,-27.771
-0.456,0.799,0.015,0.305,14.587,-27.405
-0.447,0.780,-0.001,-1.587,18.127,-26.672
-0.438,0.774,-0.004,-4.456,21.729,-26.672
