-0.037,0.127,0.982,3.906,4.761,3.235
-0.032,0.124,0.980,3.235,4.028,3.235
-0.032,0.125,0.978,2.563,2.930,3.357
-0.033,0.125,0.983,1.953,1.831,3.662
-0.038,0.126,0.990,2.136,0.732,4.028
-0.048,0.129,0.989,2.625,-0.061,3.906
-0.056,0.132,0.990,2.441,0.244,3.967
-0.055,0.133,0.997,2.258,1.526,4.150
-0.054,0.131,0.996,2.686,2.930,4.395
-0.050,0.136,0.988,2.686,4.089,4.639
-0.042,0.137,0.988,2.808,5.249,5.188
-0.035,0.141,0.989,3.113,5.554,5.615
-0.032,0.134,0.984,3.906,5.005,5.676
-0.031,0.126,0.986,4.211,4.150,5.615
-0.031,0.125,0.990,3.540,3.052,5.127
-0.034,0.133,0.988,2.075,1.648,4.761
-0.037,0.141,0.992,1.160,0.732,4.517
-0.042,0.141,0.995,1.465,0.122,4.517
-0.046,0.139,0.987,1.892,-0.122,4.150
-0.048,0.137,0.988,1.526,0.793,3.906
-0.044,0.144,0.993,0.793,1.526,3.601
-0.045,0.144,0.990,0.977,2.014,3.601
-0.046,0.144,0.989,2.075,2.625,3.723
-0.045,0.143,0.989,3.235,3.113,4.333
-0.045,0.138,0.989,4.395,3.662,4.883
-0.045,0.133,0.992,4.944,3.845,5.127
-0.047,0.128,0.996,4.578,3.845,5.127
-0.048,0.130,0.993,3.296,3.723,4.944
-0.047,0.136,0.990,1.770,3.723,4.456
-0.044,0.142,0.993,1.221,3.967,4.333
-0.042,0.142,0.990,1.526,3.723,4.028
-0.041,0.138,0.989,2.197,3.479,3.906
-0.040,0.136,0.987,2.197,3.296,3.784
-0.040,0.141,0.983,1.831,2.808,3.601
-0.041,0.139,0.987,2.075,2.563,3.357
-0.046,0.142,0.984,2.747,2.258,3.052
-0.048,0.138,0.985,3.174,2.258,2.869
-0.050,0.133,0.990,3.784,2.563,2.808
-0.047,0.130,0.992,4.028,3.052,2.991
-0.044,0.125,0.993,3.967,3.540,3.235
-0.042,0.123,0.996,3.601,3.967,3.357
-0.039,0.118,0.995,2.991,3.906,3.601
-0.040,0.122,0.990,1.953,3.723,3.906
-0.041,0.130,0.988,1.099,3.479,4.211
-0.042,0.136,0.987,0.916,3.479,4.822
-0.043,0.137,0.983,1.526,3.296,4.761
-0.046,0.140,0.975,1.770,2.991,4.639
-0.043,0.142,0.976,1.709,2.991,4.089
-0.039,0.144,0.978,1.953,2.747,3.418
-0.037,0.143,0.972,2.563,2.197,2.991
-0.035,0.138,0.976,3.357,1.465,2.563
-0.037,0.133,0.979,3.296,0.671,2.197
-0.041,0.135,0.983,3.052,0.061,2.014
-0.047,0.131,0.989,3.296,0.061,1.831
-0.052,0.127,0.990,3.601,0.671,2.136
-0.051,0.120,0.998,3.418,1.465,2.625
-0.048,0.120,1.000,2.869,2.197,2.991
-0.048,0.121,0.993,2.380,2.625,3.662
-0.044,0.126,0.988,1.526,3.174,4.089
-0.042,0.130,0.988,1.221,3.479,4.395
-0.037,0.135,0.985,1.892,3.967,4.395
-0.036,0.137,0.985,3.174,3.662,4.456
-0.036,0.135,0.986,3.967,2.930,4.517
-0.035,0.127,0.989,4.395,1.831,5.005
-0.039,0.128,0.990,3.723,1.099,4.883
-0.043,0.135,0.992,2.808,0.488,4.456
-0.045,0.140,0.989,2.625,0.244,3.906
-0.049,0.142,0.988,3.052,0.427,3.418
-0.049,0.140,0.986,3.662,0.732,2.991
-0.047,0.132,0.986,4.028,1.526,2.869
-0.045,0.130,0.990,3.784,2.136,2.747
-0.041,0.128,0.992,3.967,2.441,2.808
-0.041,0.121,0.993,4.639,2.441,3.479
-0.041,0.119,0.997,4.761,2.563,4.211
-0.044,0.115,1.001,4.028,2.197,4.944
-0.051,0.144,1.001,3.113,2.075,4.822
-0.046,0.120,1.000,3.235,1.892,5.127
-0.046,0.120,0.998,4.333,2.319,4.944
-0.045,0.134,0.996,3.113,2.502,4.272
-0.046,0.131,0.985,2.808,2.747,3.967
-0.041,0.133,0.979,2.625,3.418,3.662
-0.035,0.133,0.981,2.380,3.845,3.479
-0.033,0.133,0.976,2.441,3.662,3.357
-0.032,0.133,0.976,2.808,2.930,3.357
-0.034,0.136,0.983,2.991,2.441,3.235
-0.039,0.137,0.988,3.174,1.831,3.113
-0.044,0.133,0.993,3.174,1.404,3.052
-0.048,0.128,0.997,3.357,1.587,2.808
-0.049,0.128,1.000,2.991,2.197,2.808
-0.048,0.127,1.000,2.686,2.930,2.869
-0.043,0.126,0.999,3.174,3.418,3.113
-0.042,0.122,0.997,3.784,4.211,3.174
-0.038,0.123,0.998,3.967,4.578,3.418
-0.035,0.116,0.997,4.944,4.578,3.662
-0.035,0.113,0.990,5.310,4.395,4.028
-0.034,0.115,0.989,4.578,3.723,4.395
-0.034,0.113,0.985,3.418,3.174,4.700
-0.036,0.116,0.981,2.258,2.869,4.578
-0.036,0.133,0.979,0.916,2.502,4.761
-0.031,0.109,0.979,0.610,1.953,5.188
-0.036,0.128,0.982,0.549,1.526,5.188
-0.037,0.121,0.986,0.610,1.038,5.615
-0.041,0.117,0.992,0.916,0.549,6.165
-0.045,0.115,0.998,0.977,-0.061,6.531
-0.050,0.114,1.005,0.549,-0.427,6.409
-0.057,0.116,1.011,0.244,-0.793,6.714
