ax,ay,az,gx,gy,gz
0.781,-0.058,0.580,4.089,3.601,2.563
0.782,-0.060,0.579,3.967,3.845,2.686
0.781,-0.061,0.577,3.967,4.211,2.625
0.778,-0.061,0.578,3.967,3.906,2.808
0.777,-0.059,0.575,4.028,3.845,2.808
0.775,-0.056,0.575,3.967,3.723,3.296
0.777,-0.055,0.574,4.028,3.723,3.662
0.780,-0.057,0.573,3.967,3.601,3.784
0.782,-0.056,0.574,4.089,3.235,3.906
0.784,-0.056,0.573,4.272,2.502,3.906
0.783,-0.053,0.574,4.639,1.831,4.028
0.780,-0.049,0.574,4.822,0.977,4.395
0.778,-0.045,0.571,4.883,0.916,5.310
0.778,-0.046,0.570,5.066,1.587,5.981
0.780,-0.045,0.569,4.761,2.258,6.042
0.779,-0.044,0.568,4.456,2.869,5.554
0.781,-0.044,0.567,4.395,3.113,4.639
0.783,-0.042,0.570,4.456,2.930,3.906
0.783,-0.040,0.571,4.517,2.563,4.028
0.779,-0.036,0.568,4.578,1.831,4.395
0.776,-0.034,0.570,4.578,1.526,4.822
0.775,-0.031,0.569,4.639,1.343,5.310
0.775,-0.031,0.568,4.456,1.526,5.188
0.778,-0.033,0.569,3.967,1.709,4.761
0.782,-0.035,0.572,3.418,1.831,4.028
0.786,-0.037,0.575,3.479,1.343,3.540
0.787,-0.040,0.578,3.540,0.610,3.540
0.788,-0.041,0.581,3.479,0.122,3.906
0.786,-0.043,0.583,3.479,-0.244,4.211
0.786,-0.044,0.586,3.479,0.000,4.517
0.786,-0.045,0.586,3.052,0.488,4.761
0.789,-0.044,0.585,2.686,1.038,4.456
0.790,-0.044,0.583,2.502,1.404,4.272
0.790,-0.043,0.583,2.808,1.770,4.089
0.791,-0.043,0.581,2.747,1.709,4.333
0.790,-0.044,0.580,2.747,2.197,4.578
0.793,-0.044,0.581,2.625,2.441,4.761
0.796,-0.045,0.582,2.502,2.686,4.761
0.797,-0.047,0.581,2.563,2.808,4.456
0.797,-0.049,0.582,2.319,2.930,4.272
0.797,-0.050,0.582,2.380,2.869,4.211
0.795,-0.050,0.583,2.380,2.686,4.456
0.794,-0.051,0.583,2.502,2.380,4.761
0.792,-0.052,0.581,2.502,2.563,5.005
0.792,-0.052,0.580,2.502,2.747,5.127
0.792,-0.053,0.580,2.502,3.113,5.310
0.792,-0.052,0.581,2.502,3.845,5.371
0.793,-0.053,0.580,2.380,4.272,5.310
0.793,-0.054,0.579,2.197,4.700,5.188
0.791,-0.053,0.577,2.319,4.944,5.127
0.789,-0.052,0.574,2.197,5.127,5.127
0.787,-0.052,0.573,2.258,5.188,5.432
0.786,-0.053,0.571,2.136,5.188,5.920
0.786,-0.050,0.572,2.136,4.822,5.920
0.783,-0.049,0.572,2.014,4.211,5.859
0.783,-0.047,0.572,2.319,4.028,5.554
0.781,-0.045,0.574,2.808,3.540,5.493
0.779,-0.044,0.574,2.686,3.479,5.981
0.777,-0.041,0.573,2.441,3.845,6.287
0.775,-0.039,0.571,2.319,4.700,6.165
0.775,-0.037,0.568,2.136,5.249,6.042
0.775,-0.035,0.564,2.197,5.432,5.615
0.778,-0.035,0.560,2.197,5.554,5.249
0.780,-0.035,0.559,2.441,5.615,5.127
0.779,-0.032,0.556,2.258,5.615,5.127
0.776,-0.031,0.553,2.258,5.310,5.005
0.776,-0.028,0.553,2.502,4.639,4.761
0.778,-0.029,0.553,2.686,3.967,4.333
0.782,-0.032,0.555,2.930,3.296,4.150
0.780,-0.030,0.557,2.991,2.625,3.784
0.781,-0.030,0.558,2.686,2.014,3.418
0.779,-0.031,0.560,2.747,1.953,3.235
0.777,-0.032,0.559,2.441,1.892,3.296
0.777,-0.034,0.560,2.258,2.197,3.174
0.778,-0.036,0.560,2.014,2.319,3.113
0.779,-0.035,0.561,1.892,2.380,3.113
0.779,-0.035,0.559,1.831,2.502,3.052
0.778,-0.035,0.561,1.892,2.686,3.052
0.777,-0.035,0.560,2.014,2.563,3.113
0.776,-0.036,0.559,1.892,2.441,3.235
0.778,-0.036,0.559,1.953,2.625,3.174
0.779,-0.036,0.557,1.953,2.625,3.235
