ax,ay,az
-0.711992,-0.262300,0.149572
-0.638548,-0.231068,0.194468
-0.560956,-0.195688,0.232288
-0.472140,-0.157380,0.306952
-0.389180,-0.077836,0.425048
-0.299144,0.020008,0.493124
-0.212280,0.131028,0.533628
-0.142252,0.234728,0.619516
-0.064904,0.303048,0.712968
-0.094916,0.467504,0.800808
-0.369416,0.898408,0.442128
-0.048800,0.898408,0.579256
-0.086864,0.986980,0.823500
-0.150304,0.845948,0.708088
-0.076128,0.807884,0.680272
0.004636,0.823744,0.698816
0.049288,0.819108,0.689788
0.083204,0.813496,0.652700
0.117608,0.798124,0.632692
0.128588,0.755424,0.574864
0.077348,0.635132,0.538996
0.152988,0.606340,0.462624
0.260592,0.589748,0.385764
0.390888,0.523136,0.389668
0.544364,0.462136,0.505568
0.762256,0.513620,0.981124
1.016260,0.586820,1.507432
1.251720,0.652944,1.897588
1.391044,0.713456,1.874164
1.428620,0.655384,1.527684
1.388604,0.720532,1.215120
1.277096,0.828136,1.005280
1.013332,1.042856,0.892064
0.915732,1.072868,0.925736
0.862540,1.084092,0.990884
0.839116,1.056764,1.044564
0.823988,1.015528,1.054324
0.799344,0.962580,1.028704
0.772748,0.903044,0.986004
0.724436,0.823500,0.924028
0.665632,0.732976,0.856684
0.597312,0.648308,0.805932
0.530944,0.571448,0.770552
0.478728,0.492392,0.724680
0.452132,0.421632,0.636108
0.399916,0.294996,0.373808
0.290604,0.101992,-0.002440
0.109800,-0.098820,-0.244488
-0.018056,-0.233264,-0.278404
-0.102968,-0.433832,-0.156648
-0.147132,-0.442616,0.116388
-0.183244,-0.028060,0.554124
-0.161284,0.348920,0.668804
-0.098332,0.571448,0.671732
0.015616,0.626348,0.633424
0.140788,0.619028,0.642208
0.247172,0.590236,0.718824
0.289872,0.482876,0.812276
0.285968,0.307196,0.945012
0.253516,0.223260,1.081408
0.206180,0.318176,1.105564
0.153232,0.444812,1.094584
0.098820,0.505080,1.143628
0.101748,0.455792,1.148020
0.130540,0.393328,1.165588
0.181292,0.381860,1.184132
0.236924,0.396744,1.200480
0.291824,0.406260,1.224880
0.322568,0.430904,1.235128
0.323300,0.479216,1.184132
0.325984,0.543388,1.073112
0.341600,0.603656,0.958432
0.358924,0.609512,0.834724
0.362340,0.537288,0.734196
0.334524,0.501176,0.702720
0.303292,0.526796,0.728096
0.283528,0.560712,0.754448
0.270840,0.596336,0.778848
0.257908,0.611220,0.864980
0.234728,0.539240,0.807640
0.212036,0.506056,0.789828
0.217648,0.489220,0.703452
0.233508,0.469456,0.680272
0.243024,0.411628,0.687836
0.245220,0.373564,0.691740
0.239852,0.389668,0.713456
0.221308,0.403332,0.771040
0.209352,0.398208,0.786168
0.199104,0.412360,0.749080
0.198372,0.422120,0.714432
0.231800,0.433344,0.696376
0.276940,0.447740,0.736392
0.308660,0.465796,0.778116
0.326228,0.469212,0.817644
0.326716,0.465064,0.862296
0.318420,0.453596,0.910120
0.299144,0.435296,0.953552
0.274744,0.422120,0.972828
0.258396,0.418704,0.970876
0.234484,0.424804,0.967216
0.210328,0.426512,0.960384
0.194712,0.412116,0.951844
0.185928,0.376980,0.947696
0.181292,0.338916,0.944036
0.165920,0.314272,0.927444
0.157380,0.307440,0.889624
0.133468,0.340868,0.839848
0.131028,0.365024,0.816180
0.134444,0.381128,0.825940
0.139324,0.424804,0.889868
0.143228,0.480192,0.911828
0.153476,0.519964,0.907192
0.183244,0.530700,0.917928
0.235704,0.539484,0.928176
0.262544,0.548756,0.958432
0.304512,0.544120,0.953308
0.355264,0.520696,0.986248
0.397476,0.509960,1.028216
0.422608,0.478728,1.060180
0.462380,0.432856,1.093608
0.480192,0.399184,1.132892
0.481412,0.354288,1.164612
0.485316,0.298168,1.179496
