ax,ay,az
0.182756,0.000488,1.007232
0.176168,-0.001464,0.993812
0.160064,-0.008052,0.979660
0.143716,-0.015372,0.977952
0.138592,-0.010248,0.985516
0.142984,-0.002684,0.999668
0.150792,-0.003416,1.004548
0.156404,-0.014396,1.015040
0.155916,-0.024400,1.007964
0.155428,-0.022936,1.001132
0.152012,-0.022448,1.001620
0.142252,-0.021716,0.997228
0.132492,-0.016592,0.966728
0.130540,-0.017324,0.945256
0.151280,-0.019032,0.958676
0.160064,-0.017324,0.979660
0.162016,-0.024644,0.987224
0.162016,-0.026840,0.981612
0.159332,-0.010980,0.959164
0.153720,0.001220,0.941596
0.150792,0.000244,0.955992
0.148352,-0.012932,0.978928
0.151036,-0.024400,0.988688
0.149816,-0.025132,0.985028
0.145668,-0.020984,0.982588
0.144448,-0.020740,0.984784
0.147132,-0.026108,0.988444
0.149084,-0.036112,0.993568
0.150792,-0.042212,1.000400
0.150304,-0.044408,1.003328
0.152988,-0.046848,1.001620
0.150792,-0.046116,1.005524
0.147132,-0.054412,1.016016
0.143472,-0.058560,1.026752
0.137616,-0.055388,1.031876
0.134932,-0.052460,1.034072
0.135420,-0.050996,1.031144
0.141764,-0.047580,1.023824
0.148840,-0.050996,1.007720
0.158112,-0.049532,0.995520
0.159088,-0.045140,0.980636
0.165676,-0.043432,0.975512
0.173240,-0.045872,0.978440
0.176656,-0.056364,0.982100
0.174704,-0.064904,0.987712
0.173972,-0.065880,0.986004
0.173240,-0.058804,0.976244
0.166164,-0.050508,0.969900
0.163236,-0.046116,0.966240
0.164212,-0.047824,0.971364
0.168604,-0.048556,0.977220
0.163968,-0.043188,0.978928
0.163968,-0.045872,0.978684
0.168116,-0.042944,0.976732
0.162016,-0.031964,0.983076
0.154696,-0.039528,0.994788
0.145424,-0.002196,1.049688
0.152500,-0.055632,1.061644
0.266448,-0.464576,0.621468
0.229604,-0.074176,0.779580
0.149084,0.148840,0.892308
0.147620,0.061000,0.964776
0.184220,-0.031476,1.015772
0.180804,-0.051972,0.971364
0.154208,-0.035136,0.936472
0.134444,-0.025620,0.925248
0.136396,-0.035136,0.984296
0.152012,-0.035624,0.968924
0.155916,-0.035624,0.976244
0.153476,-0.032940,0.980636
0.148108,-0.034160,0.984052
0.144448,-0.038796,0.989420
0.144936,-0.039772,1.000400
0.142740,-0.038064,1.000888
0.139812,-0.032452,0.999180
0.144204,-0.034648,0.996984
0.147376,-0.037332,0.996740
0.145424,-0.042700,0.999424
0.141520,-0.046116,1.001864
0.138104,-0.049044,1.006744
0.135908,-0.051728,1.004304
0.133468,-0.051484,1.002108
0.136640,-0.050508,1.004060
0.136396,-0.050508,1.006744
0.134200,-0.049288,1.000888
0.135420,-0.045872,1.000400
0.137372,-0.054900,1.003572
0.137372,-0.054900,1.007476
