Initialize correctly IMU!
Step Detector Configured. Starting...
ax,ay,az,state,step_detected
Measured Frequency: 0 Hz
-0.004880,-0.033916,1.021140,LOOKING_FOR_FIRST_MAX,0
0.000488,-0.074908,0.981368,LOOKING_FOR_FIRST_MAX,0
-0.058804,-0.069296,0.964288,LOOKING_FOR_FIRST_MAX,0
-0.014640,-0.059048,0.965996,LOOKING_FOR_FIRST_MAX,0
-0.024888,-0.043432,0.963068,LOOKING_FOR_FIRST_MAX,0
-0.031476,-0.054656,0.955260,LOOKING_FOR_FIRST_MAX,0
-0.029524,-0.046360,0.943548,LOOKING_FOR_FIRST_MAX,0
-0.025864,-0.032696,0.955748,LOOKING_FOR_FIRST_MAX,0
-0.004636,-0.027328,0.985516,LOOKING_FOR_FIRST_MAX,0
0.010736,-0.025620,1.007232,LOOKING_FOR_FIRST_MAX,0
0.044652,-0.033916,1.078968,LOOKING_FOR_FIRST_MAX,0
0.073200,-0.048556,1.097024,LOOKING_FOR_FIRST_MAX,0
0.089548,-0.025376,1.052372,LOOKING_FOR_FIRST_MAX,0
0.083936,0.018300,1.022604,LOOKING_FOR_FIRST_MAX,0
0.082228,0.021472,0.972828,LOOKING_FOR_FIRST_MAX,0
0.100040,0.039284,1.006256,LOOKING_FOR_FIRST_MAX,0
0.102480,0.033916,0.972584,LOOKING_FOR_FIRST_MAX,0
0.100528,0.036600,0.963312,LOOKING_FOR_FIRST_MAX,0
0.102724,0.039284,0.980392,LOOKING_FOR_FIRST_MAX,0
0.100040,0.031964,0.987468,LOOKING_FOR_FIRST_MAX,0
0.093208,0.008540,0.970632,LOOKING_FOR_FIRST_MAX,0
0.088572,-0.001464,0.972584,LOOKING_FOR_FIRST_MAX,0
0.090280,0.000488,0.974780,LOOKING_FOR_FIRST_MAX,0
0.098088,-0.011468,0.975268,LOOKING_FOR_FIRST_MAX,0
0.106628,-0.014152,0.980392,LOOKING_FOR_FIRST_MAX,0
0.113460,-0.006588,0.982100,LOOKING_FOR_FIRST_MAX,0
0.114680,-0.010736,0.977220,LOOKING_FOR_FIRST_MAX,0
0.111996,-0.014396,0.974292,LOOKING_FOR_FIRST_MAX,0
0.107116,-0.018788,0.984052,LOOKING_FOR_FIRST_MAX,0
0.080276,-0.033916,0.991860,LOOKING_FOR_FIRST_MAX,0
0.057584,-0.040504,0.999180,LOOKING_FOR_FIRST_MAX,0
0.032696,-0.046848,1.009184,LOOKING_FOR_FIRST_MAX,0
0.023424,-0.057584,1.030656,LOOKING_FOR_FIRST_MAX,0
0.005612,-0.061732,1.022116,LOOKING_FOR_FIRST_MAX,0
-0.006832,-0.050020,1.047248,LOOKING_FOR_FIRST_MAX,0
-0.026352,-0.085644,1.050664,LOOKING_FOR_FIRST_MAX,0
-0.057340,-0.088816,1.044320,LOOKING_FOR_FIRST_MAX,0
-0.074420,-0.071736,1.033584,LOOKING_FOR_FIRST_MAX,0
-0.100772,-0.015372,1.002840,LOOKING_FOR_FIRST_MAX,0
-0.134932,0.017568,0.894504,LOOKING_FOR_FIRST_MAX,0
-0.145424,0.022692,0.875716,LOOKING_FOR_FIRST_MAX,0
-0.136396,0.007564,0.960628,LOOKING_FOR_FIRST_MAX,0
-0.081984,0.040992,1.033096,LOOKING_FOR_FIRST_MAX,0
-0.066612,0.044408,1.050176,LOOKING_FOR_FIRST_MAX,0
-0.063684,0.031476,1.034560,LOOKING_FOR_FIRST_MAX,0
-0.070760,0.039528,1.037488,LOOKING_FOR_FIRST_MAX,0
-0.076372,0.054656,1.042856,LOOKING_FOR_FIRST_MAX,0
-0.089792,0.057096,1.046028,LOOKING_FOR_FIRST_MAX,0
-0.128832,0.067100,0.996740,LOOKING_FOR_FIRST_MAX,0
-0.137616,0.069784,0.991372,LOOKING_FOR_FIRST_MAX,0
Measured Frequency: 203 Hz
-0.150548,0.058804,0.998692,LOOKING_FOR_FIRST_MAX,0
-0.153232,0.041968,1.017236,LOOKING_FOR_FIRST_MAX,0
-0.147132,0.030500,1.041392,LOOKING_FOR_FIRST_MAX,0
-0.137860,0.020252,1.069696,LOOKING_FOR_FIRST_MAX,0
-0.139080,0.015128,1.066768,LOOKING_FOR_FIRST_MAX,0
-0.142496,0.011468,1.040416,LOOKING_FOR_FIRST_MAX,0
-0.137128,0.015860,1.053348,LOOKING_FOR_FIRST_MAX,0
-0.132492,0.018788,1.037244,LOOKING_FOR_FIRST_MAX,0
-0.116144,0.004636,1.027484,LOOKING_FOR_FIRST_MAX,0
-0.108580,0.009272,1.014308,LOOKING_FOR_FIRST_MAX,0
